ID,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LAT,LON,NUMERO_LOGRADOURO_ENTREGA
466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,RUA FREI LUIZ ALEVATO,-22.93533,-43.36973,SNdeg
608,ESCOLA MUNICIPAL GRANDJEAN DE MONTIGNY,PAVUNA,PRACA DOS UCRANIANOS,-22.81389,-43.37393,SNo
091,ESCOLA MUNICIPAL PIAUI,GUADALUPE,AVENIDA BRASIL,-22.84542,-43.37852,23364
495,ESCOLA MUNICIPAL ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,AVENIDA DUQUE DE CAXIAS,-22.85609,-43.38661,170
636,ESCOLA MUNICIPAL PABLO NERUDA,TAQUARA,ESTRADA DO MAPUA SNo RUA,-22.92688,-43.38788,3
589,ESCOLA MUNICIPAL MARIO PIRAGIBE,ANCHIETA,PRACA NOSSA SENHORA DAS DORES,-22.82558,-43.39208,SNo
568,ESCOLA MUNICIPAL VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUA TEOFILO GUIMARAES,-22.88908,-43.39248,604
256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO,-22.82636,-43.40288,4035
690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,RUA,-22.97199,-43.41011,IGARAPEACU
211,ESCOLA MUNICIPAL FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME,-22.91883,-43.41625,196
687,ESCOLA MUNICIPAL TASSO DA SILVEIRA,REALENGO,RUA GENERAL BERNARDINO DE MATOS,-22.88386,-43.41733,SNo
308,CENTRO INTEGRADO DE EDUCACAO PUBLICA THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO,-22.86652,-43.42515,SNo
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,REALENGO,AVENIDA CANAL,-22.88346,-43.42945,SNdeg
520,ESCOLA MUNICIPAL BARONESA DE SAAVEDRA,REALENGO,RUA MAL BIBIANO COSTALAT,-22.87185,-43.43243,483639
477,ESCOLA MUNICIPAL PAULO MARANHAO,REALENGO,RUA DO GOVERNO,-22.89299,-43.44122,866
576,ESCOLA MUNICIPAL CORYNTHO DA FONSECA,REALENGO,RUA URUQUE,-22.85894,-43.44387,SNdeg
641,ESCOLA MUNICIPAL LAURO MULLER,PADRE MIGUEL,RUA ROSA DE ALMEIDA,-22.88207,-43.44644,113
689,ESCOLA MUNICIPAL MOACIR PADILHA,PADRE MIGUEL,RUA GENERAL GOMES DE CASTRO,-22.86877,-43.45065,30
080,ESCOLA MUNICIPAL JOSE MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA,-22.85044,-43.46686,SNo
