id,nome_escola,tipo_escola,logradouro_entrega,numero,bairro,subprefeitura,latitude,longitude,quantidade_material_didatico,melhor_rota
248,EM ASPIRANTE CARLOS ALFREDO,EM,RUA IBIA,105,TURIACU,ZONA NORTE,-22.86084,-43.34455,513,68
256,ESCOLA MUNICIPAL PARAIBA,EM,ESTRADA MARECHAL ALENCASTRO,4035,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345,69
226,EM AFRANIO PEIXOTO,EM,RUA FERREIRA PONTES,328,ANDARAI,GRANDE TIJUCA,-22.92685,-43.25491,164,70
011,CIEP SAMUEL WEINER,CIEP,AVENIDA HEITOR BELTRAO,SN ,TIJUCA,GRANDE TIJUCA,-22.92127,-43.22799,445,71
180,ESCOLA MUNICIPAL EQUADOR,EM,BOULEVARD,28,VILA ISABEL,GRANDE TIJUCA,-22.91615,-43.24704,185,72
576,EM CORYNTHO DA FONSECA,EM,RUA URUQUE,SN ,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148,73
477,EM PAULO MARANHAO,EM,RUA DO GOVERNO,866,REALENGO,GRANDE BANGU,-22.89299,-43.44121,187,74
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,EM,AVENIDA CANAL,SN ,REALENGO,GRANDE BANGU,-22.88345,-43.42945,235,75
687,EM TASSO DA SILVEIRA,EM,RUA GENERAL BERNARDINO DE MATOS,SN ,REALENGO,GRANDE BANGU,-22.88385,-43.41733,0,76
568,EM VISCONDE DE PORTO SEGURO,EM,RUA TEOFILO GUIMARAES,604,JARDIM SULACAP,GRANDE BANGU,-22.88907,-43.39248,362,77
641,EM LAURO MULLER,EM,RUA ROSA DE ALMEIDA,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269,78
080,EM JOSE MAURO DE VASCONCELOS,EM,RUA MARLIERIA,SN ,BANGU,GRANDE BANGU,-22.85043,-43.46685,599,79
260,EM PROFESSOR JOSUE DE CASTRO,EM,AVENIDA BRASIL,4040,BONSUCESSO,ZONA NORTE,-22.87373,-43.24071,0,80
587,EM ALMIRANTE TAMANDARE,EM,AVENIDA PRESIDENTE JOAO GOULART,296,VIDIGAL,ZONA SUL,-22.99369,-43.23557,336,81
413,EM COCIO BARCELOS,EM,RUA BARAO DE IPANEMA,34,COPACABANA,ZONA SUL,-22.74828,-43.18906,0,82
268,ESCOLA MUNICIPAL MINAS GERAIS,EM,AVENIDA PASTEUR,433,URCA,ZONA SUL,-22.95382,-43.16888,308,83
523,EM PRESIDENTE DA COSTA E SILVA,EM,RUA ASSUNCAO,257,BOTAFOGO,ZONA SUL,-22.94555,-43.18659,111,84
387,CIEP PRESIDENTE AGOSTINHO NETO,CIEP,RUA VISCONDE DE SILVA,SN ,HUMAITA,,-22.95916,-43.19972,456,85
450,EM ALBERTO BARTH,EM,AVENIDA OSWALDO CRUZ,124,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420,86
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,EM,RUA ALM JOAO CANDIDO BRASIL,352,MARACANA/TIJUCA,,-22.91682,-43.23692,0,87
440,EM JOAQUIM RIBEIRO,EM,PRACA SOLDADO COSME DOS SANTOS,28,INHAUMA,,-22.87757,-43.28562,530,88
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,EM,RUA OITO DE DEZEMBRO,275,MARACANA/VILA ISABEL,,-22.90982,-43.23939,491,89
540,EM HENRIQUE DODSWORTH,EM,AVENIDA EPITACIO PESSOA,474,IPANEMA,ZONA SUL,-22.98195,-43.21357,516,90
412,EM MOZART LAGO,EM,RUA JOSE CARVALHO SALGADO,SN ,OSWALDO CRUZ,,-22.87221,-43.35033,0,91
550,EM 25 DE ABRIL,EM,RUA MAMORE,78,FREGUESIA JPA,,-22.93816,-43.34257,128,92
528,CIEP MARGARET MEE,CIEP,RUA MINISTRO ALIOMAR BALEEIRO,SN ,RECREIO,,-23.01981,-43.48172,51,93
492,EM MENEZES CORTES,EM,PRACA JOSE ALVES DE AZEVEDO,43,FREGUESIA JPA,,-22.94265,-43.33896,0,94
570,EM HELENA LOPES ABRANCHES,EM,RUA ACAPORI,495,GARDENIA AZUL,,-22.96072,-43.35343,466,95
135,EM DOMINGOS BEBIANO,EM,ESTRADA ADHEMAR BEBIANO,1870,INHAUMA,,-22.87389,-43.27771,456,96
